"Scope","REALTIME (usec).[0,0] (I)","REALTIME (usec).[1,0] (I)","REALTIME (usec).[2,0] (I)","REALTIME (usec).[3,0] (I)","REALTIME (usec).[4,0] (I)","REALTIME (usec).[5,0] (I)","REALTIME (usec).[6,0] (I)","REALTIME (usec).[7,0] (I)","RealTime(Sum)","Sum"
"Experiment Aggregate Metrics",1.99e+05 100 %,1.25e+05 100 %,1.87e+05 100 %,1.90e+05 100 %,1.91e+05 100 %,1.91e+05 100 %,1.39e+05 100 %,1.86e+05 100 %,1.76e+05,1.41e+06
"main",1.99e+05 100 %,1.25e+05 100 %,1.87e+05 100 %,1.90e+05 100 %,1.91e+05 100 %,1.91e+05 100 %,1.39e+05 100 %,1.86e+05 100 %,1.76e+05,1.41e+06
"MPI_Finalize",1.82e+05 91.4%,9.08e+03  7.3%,6.56e+04 35.1%,3.91e+04 20.5%,4.62e+04 24.2%,2.31e+04 12.1%,1.04e+03  0.8%,3.62e+04 19.5%,5.03e+04,4.02e+05
"PMPI_Waitall",1.71e+04  8.6%,,,,,,,,2.14e+03,1.71e+04
"MPI_Init",,,,,,,,,,
"PMPI_Wait",,7.03e+03  5.6%,6.04e+03  3.2%,9.05e+03  4.7%,1.61e+04  8.4%,3.03e+03  1.6%,1.12e+04  8.1%,1.31e+04  7.0%,8.18e+03,6.55e+04
"__kmpc_fork_call",,1.09e+05 87.1%,1.15e+05 61.7%,1.42e+05 74.7%,1.29e+05 67.4%,1.65e+05 86.3%,1.26e+05 91.2%,1.36e+05 73.4%,1.15e+05,9.22e+05
"MPEI_Thread_start",,,,,,,,,,
"__kmp_launch_monitor(void*)",,,,,,,,,,
"__kmp_launch_worker(void*)",,,,,,,,,,
