"Scope","REALTIME (usec).[0,0] (I)","REALTIME (usec).[1,0] (I)","REALTIME (usec).[2,0] (I)","REALTIME (usec).[3,0] (I)","REALTIME (usec).[4,0] (I)","REALTIME (usec).[5,0] (I)","REALTIME (usec).[6,0] (I)","REALTIME (usec).[7,0] (I)","Sum"
"Experiment Aggregate Metrics",2.62e+05 100 %,2.28e+05 100 %,1.93e+05 100 %,2.24e+05 100 %,2.34e+05 100 %,1.65e+05 100 %,2.12e+05 100 %,2.54e+05 100 %,1.77e+06
"main",2.62e+05 100 %,2.28e+05 100 %,1.93e+05 100 %,2.24e+05 100 %,2.34e+05 100 %,1.65e+05 100 %,2.12e+05 100 %,2.54e+05 100 %,1.77e+06
"MPI_Finalize",2.57e+05 98.1%,6.53e+04 28.7%,6.93e+04 35.9%,1.62e+05 72.4%,1.61e+05 68.6%,3.31e+04 20.1%,7.43e+04 35.0%,1.21e+05 47.6%,9.42e+05
"PMPI_Waitall",5.03e+03  1.9%,,,,,,,,5.03e+03
"MPI_Init",,,,,,,,,
"PMPI_Wait",,1.02e+03  0.4%,1.01e+03  0.5%,3.03e+03  1.4%,3.65e+03  1.6%,5.03e+03  3.1%,6.05e+03  2.9%,5.03e+03  2.0%,2.48e+04
"__kmpc_fork_call",,1.61e+05 70.9%,1.23e+05 63.6%,5.87e+04 26.3%,7.00e+04 29.9%,1.27e+05 76.8%,1.32e+05 62.1%,1.28e+05 50.4%,7.99e+05
"MPEI_Thread_start",,,,,,,,,
"__kmp_launch_monitor(void*)",,,,,,,,,
"__kmp_launch_worker(void*)",,,,,,,,,
