"Scope","REALTIME (usec).[0,0] (I)","REALTIME (usec).[1,0] (I)","REALTIME (usec).[2,0] (I)","REALTIME (usec).[3,0] (I)","REALTIME (usec).[4,0] (I)","REALTIME (usec).[5,0] (I)","REALTIME (usec).[6,0] (I)","REALTIME (usec).[7,0] (I)","Sum"
"Experiment Aggregate Metrics",2.63e+05 100 %,2.18e+05 100 %,2.62e+05 100 %,1.64e+05 100 %,2.53e+05 100 %,2.56e+05 100 %,2.58e+05 100 %,2.52e+05 100 %,1.93e+06
"main",2.63e+05 100 %,2.18e+05 100 %,2.62e+05 100 %,1.64e+05 100 %,2.53e+05 100 %,2.56e+05 100 %,2.58e+05 100 %,2.52e+05 100 %,1.93e+06
"MPI_Finalize",2.58e+05 98.1%,7.34e+04 33.8%,1.05e+05 40.2%,6.16e+04 37.5%,1.17e+05 46.4%,1.74e+05 67.9%,1.16e+05 45.2%,1.56e+05 62.0%,1.06e+06
"PMPI_Waitall",5.03e+03  1.9%,,,,,,,,5.03e+03
"MPI_Init",,,,,,,,,
"__kmpc_fork_call_start",,8.43e+03  3.9%,5.52e+04 21.1%,1.14e+04  6.9%,1.75e+04  6.9%,2.37e+04  9.3%,8.07e+03  3.1%,7.42e+03  2.9%,1.32e+05
"PMPI_Wait",,,,,,,2.02e+03  0.8%,,2.02e+03
"__kmpc_fork_call_end",,1.02e+05 47.0%,1.02e+05 38.8%,9.03e+04 55.0%,1.17e+05 46.3%,5.85e+04 22.8%,1.31e+05 50.9%,8.81e+04 35.0%,6.89e+05
"__kmp_join_call",,3.35e+04 15.4%,,1.06e+03  0.6%,1.05e+03  0.4%,,,,3.56e+04
"MPEI_Thread_start",,,,,,,,,
"__kmp_launch_monitor(void*)",,,,,,,,,
"__kmp_launch_worker(void*)",,,,,,,,,
