"Scope","1.WALLCLOCK (usec):Sum (I)","1.WALLCLOCK (usec):Sum (E)","2.WALLCLOCK (usec):Sum (I)","2.WALLCLOCK (usec):Sum (E)","scalabilty_loss"
"Experiment Aggregate Metrics",7.18e+04 100 %,7.18e+04 100 %,6.56e+05 100 %,6.56e+05 100 %,89.05 %
"<program root>",7.18e+04 100 %,,,,-10.95 %
"main",7.18e+04 100 %,,,,-10.95 %
"loop at : 0",7.18e+04 100 %,,,,-10.95 %
"__kmpc_fork_call",7.18e+04 100 %,,,,-10.95 %
"__kmp_fork_call",7.18e+04 100 %,,,,-10.95 %
"__kmp_fork_barrier(int, int)",6.40e+04 89.1%,,,,-9.75 %
"__kmp_hyper_barrier_release(barrier_type, kmp_info*, int, int, int, void*)",6.40e+04 89.1%,6.40e+04 89.1%,,,-9.75 %
"loop at kmp_barrier.o: 0",6.40e+04 89.1%,,,,-9.75 %
"__kmp_invoke_task_func",7.82e+03 10.9%,,,,-1.19 %
"__kmp_invoke_microtask",7.82e+03 10.9%,,,,-1.19 %
"[I] L_kmp_invoke_pass_parms",7.82e+03 10.9%,,,,-1.19 %
"<thread root>",,,6.56e+05 100 %,,100.00 %
"__kmp_launch_worker(void*)",,,6.56e+05 100 %,,100.00 %
"__kmp_launch_thread",,,6.56e+05 100 %,,100.00 %
"loop at : 0",,,6.56e+05 100 %,,100.00 %
"__kmp_fork_barrier(int, int)",,,3.22e+05 49.0%,,49.02 %
"__kmp_store_x87_fpu_control_word",,,3.96e+03  0.6%,3.96e+03  0.6%,0.60 %
"__kmp_invoke_task_func",,,3.31e+05 50.4%,,50.37 %
"__kmp_invoke_microtask",,,3.31e+05 50.4%,,50.37 %
"[I] L_kmp_invoke_pass_parms",,,3.31e+05 50.4%,,50.37 %
"main",,,3.31e+05 50.4%,,50.37 %
"__kmpc_barrier",,,8.67e+04 13.2%,,13.21 %
"__kmp_barrier",,,8.67e+04 13.2%,,13.21 %
"__kmp_hyper_barrier_release(barrier_type, kmp_info*, int, int, int, void*)",,,8.67e+04 13.2%,,13.21 %
"__kmpc_critical",,,2.44e+05 37.2%,,37.17 %
